title,category,slug,tutorial_view,py_view,py_download,r_view,r_download,m_view,m_download,description,py_img,r_img,m_img
Basics of working with satellite data,ERDDAP Basics,Tutorial1-basics,Tutorial1-basics,Tutorial1-basics/python/python/Tutorial1-basics.ipynb,tutorials/Tutorial1-basics/python/Tutorial1-basics.ipynb,Tutorial1-basics/r/Tutorial1-basics.qmd,tutorials/Tutorial1-basics/r/Tutorial1-basics.Rmd,Tutorial1-basics/matlab/Tutorial1-basics.qmd,tutorials/Tutorial1-basics/matlab/Tutorial1-basics.md,"Access and analyze satellite-derived sea surface temperature using ERDDAP and NetCDF-based workflows. This tutorial demonstrates how to locate and subset a satellite SST product in ERDDAP, download gridded NetCDF data, examine its structure, and create basic spatial maps and regional time series. Users work with the NOAA Coral Reef Watch CoralTemp monthly sea surface temperature product to explore coordinate conventions, generate SST maps, compute regional averages, and visualize temporal variability.",tut1_1_py.png::Time series of sea surface temperature in the western North Atlantic Ocean along the US East Coast in 2022. | tut1_2_py.png::Map of the 2022 average sea surface temperature in the western North Atlantic Ocean along the US East Coast.,tut1_1_r.png::Time series of sea surface temperature in the western North Atlantic Ocean along the US East Coast in 2022. | tut1_2_r.png::Map of the 2022 average sea surface temperature in the western North Atlantic Ocean along the US East Coast.,tut1_1_m.png::Time series of sea surface temperature around the Hawaiian Islands in 2018. | tut1_2_m.png::Map of the 2018 average sea surface temperature in the Hawaiian Islands.
Compare time series from different sensors,Time Series,Tutorial2-timeseries-compare-sensors,Tutorial2-timeseries-compare-sensors,Tutorial2-timeseries-compare-sensors/python/,tutorials/Tutorial2-timeseries-compare-sensors/python/Tutorial2-timeseries-compare-sensors.ipynb,Tutorial2-timeseries-compare-sensors/r/,tutorials/Tutorial2-timeseries-compare-sensors/r/Tutorial2-timeseries-compare-sensors.Rmd,Tutorial2-timeseries-compare-sensors/matlab/,tutorials/Tutorial2-timeseries-compare-sensors/matlab/Tutorial2-timeseries-compare-sensors.md,"Compare satellite chlorophyll-a time series from multiple ocean color sensors to understand differences during overlapping observation periods. This tutorial demonstrates how to use ERDDAP to extract spatially averaged chlorophyll-a time series from a defined region, examine dataset metadata, handle differences in coordinate conventions, and compare measurements across sensors through visualization. Monthly chlorophyll-a data from SeaWiFS, MODIS Aqua, NOAA VIIRS S-NPP, and the ESA Ocean Colour Climate Change Initiative (OC-CCI) are used to evaluate consistency and variability among sensors from 1997 to the present.","tut2_1_py.png::Monthly chlorophyll-a time series from SeaWiFS, MODIS Aqua, VIIRS S-NPP, and the ESA OC-CCI dataset averaged over a Gulf of Mexico region, illustrating differences among sensors during periods of overlap.","tut2_1_r.png::Monthly chlorophyll-a time series from SeaWiFS, MODIS Aqua, VIIRS S-NPP, and the ESA OC-CCI dataset averaged over a Gulf of Mexico region, illustrating differences among sensors during periods of overlap. | tut2_2_r.png::Mean log-transformed chlorophyll-a concentration for the Gulf of Mexico region derived from SeaWiFS, MODIS Aqua, NOAA VIIRS S-NPP, and the ESA OC-CCI blended dataset.","tut2_1_m.png::Monthly chlorophyll-a time series from SeaWiFS, MODIS Aqua, VIIRS S-NPP, and the ESA OC-CCI dataset averaged over a Gulf of Mexico region, illustrating differences among sensors during periods of overlap. "
Make a virtual buoy with satellite data,Time Series,create-virtual-buoy-with-satellite-data,create-virtual-buoy-with-satellite-data,create-virtual-buoy-with-satellite-data/python/,tutorials/create-virtual-buoy-with-satellite-data/python/create-virtual-buoy-with-satellite-data.ipynb,create-virtual-buoy-with-satellite-data/r/,tutorials/create-virtual-buoy-with-satellite-data/r/virtual_buoy_example.Rmd,,,"Create a virtual ocean buoy using satellite data to extend or replace discontinued in situ observations. This tutorial demonstrates how to use ERDDAP to extract satellite sea surface temperature at a fixed location, build and clean a virtual buoy time series, resample the data to a lower temporal resolution, and analyze trends through visualization and linear regression. Data from NDBC Buoy 46259 are used alongside the NOAA GeoPolar Blended SST satellite dataset.",vbuoy_py.png::National Data Buoy Center buoy 46259 matched up with sea surface temperature data. | vbuoy2_py.png:: Trend analysis of buoy and satellite data.,vbuoy_r.png::National Data Buoy Center buoy 46259 matched up with sea surface temperature data. | vbuoy2_r.png:: Trend analysis of buoy and satellite data.,
Calculating sea ice area and extent,Spatial Analysis & Mapping,calculating-sea-ice-extent,calculating-sea-ice-extent,calculating-sea-ice-extent/python/,tutorials/calculating-sea-ice-extent/python/calculating-sea-ice-extent.ipynb,calculating-sea-ice-extent/r/,tutorials/calculating-sea-ice-extent/r/calculate-seaice-extent.Rmd,,,"Calculate sea ice area and extent from satellite-derived sea ice concentration to quantify seasonal and interannual variability in Arctic ice cover. This tutorial demonstrates how to use PolarWatch ERDDAP to retrieve gridded sea ice concentration data, incorporate grid cell area information, and apply standard concentration thresholds to compute sea ice area and extent. Users visualize sea ice concentration maps and generate monthly time series to examine changes in Arctic sea ice over time. Data from the NOAA/NSIDC Sea Ice Concentration Climate Data Record (Version 4) and a polar stereographic grid cell area dataset are used to perform the calculations for the Northern Hemisphere.",seaice1_py.png::Monthly mean sea ice concentration in the Northern Hemisphere derived from the NOAA/NSIDC Sea Ice Concentration Climate Data Record. | seaice2_py.png::Monthly time series of Arctic sea ice area and sea ice extent computed from satellite-derived sea ice concentration using a 15% concentration threshold.,seaice1_r.png::Monthly mean sea ice concentration for the Arctic in 2021 shown in a Northern Polar Stereographic projection. | seaice2_r.png::Monthly time series of Arctic sea ice area and sea ice extent for 2021 computed from satellite-derived sea ice concentration using a 15% concentration threshold.,
Working with data that crosses the antimeridian,Spatial Analysis & Mapping,convert-180+180-to-0-360-longitude,convert-180+180-to-0-360-longitude,convert-180+180-to-0-360-longitude/python/,tutorials/convert-180+180-to-0-360-longitude/python/convert-180+180-to-0-360-longitude.ipynb,,,,,"Work with satellite datasets that span the antimeridian by correcting longitude discontinuities for analysis and visualization. This tutorial demonstrates how to retrieve gridded satellite data defined on a −180° to +180° longitude system, subset regions that cross the antimeridian, convert longitude coordinates to a 0–360° system, and reorder the longitude axis to create a continuous spatial domain. The corrected data are then visualized on a map and saved for downstream analysis. Chlorophyll-a data from the NOAA gap-filled blended VIIRS ocean color dataset are used to illustrate antimeridian handling in the Bering Sea region.","convert1801_py.png::Subset of satellite chlorophyll-a data crossing the antimeridian plotted using a −180° to +180° longitude convention. The map shows a visible discontinuity where data from opposite sides of the antimeridian are split and displayed at opposite edges of the domain. | convert1802_py.png::The same satellite chlorophyll-a data after converting longitudes to a 0–360° convention and reordering the longitude axis. The antimeridian discontinuity is removed, resulting in a continuous spatial representation suitable for mapping and analysis.",,
Define a marine habitat,Spatial Analysis & Mapping,define_marine_habitat,define_marine_habitat,define_marine_habitat/python/,tutorials/define_marine_habitat/python/define_marine_habitat.ipynb,define_marine_habitat/r/,tutorials/define_marine_habitat/r/define_marine_habitat.Rmd,,,"Define a marine habitat using satellite sea surface temperature to identify regions associated with species–environment interactions. This tutorial demonstrates how to retrieve satellite SST from ERDDAP, subset data for a region and time of interest, and apply temperature-based thresholds to delineate a habitat band. The resulting temperature contours are visualized on a map to highlight areas associated with increased likelihood of interaction. Sea surface temperature data from the NOAA Coral Reef Watch CoralTemp product are used to illustrate habitat definition in the central North Pacific as part of the TurtleWatch framework.","marine1_py.png::Satellite sea surface temperature map with the TurtleWatch habitat band highlighted. The red band marks SST values between 17.5 °C and 18.5 °C, identifying regions associated with increased loggerhead sea turtle interactions based on the TurtleWatch framework.","marine1_r.png::Satellite sea surface temperature map with the TurtleWatch habitat band highlighted. The red band marks SST values between 17.5 °C and 18.5 °C, identifying regions associated with increased loggerhead sea turtle interactions based on the TurtleWatch framework.",
Extract data within a boundary,Data Access & Subsetting,extract-satellite-data-within-boundary,extract-satellite-data-within-boundary,extract-satellite-data-within-boundary/python/,tutorials/extract-satellite-data-within-boundary/python/extract-satellite-data-within-boundary.ipynb,extract-satellite-data-within-boundary/r/,tutorials/extract-satellite-data-within-boundary/r/extract-satellite-data-within-boundary.Rmd,extract-satellite-data-within-boundary/matlab/,tutorials/extract-satellite-data-within-boundary/matlab/,"Extract and analyze satellite data within an irregular geographic boundary to better represent real-world marine regions. This tutorial demonstrates how to download sea surface temperature data from ERDDAP, subset it using a bounding box, and apply a polygon mask to retain values only within a defined boundary. The masked data are then used to compute and visualize a seasonal temperature cycle for the region of interest. Sea surface temperature data from the NOAA Geo-Polar Blended SST product are combined with Longhurst Marine Province boundaries to illustrate region-based satellite analysis.",extractsat1_py.png::Satellite sea surface temperature masked to the Gulf Stream Longhurst Province (GFST). | extractsat2_py.png::Monthly mean sea surface temperature within the Gulf Stream Province for 2020.,extractsat1_r.png::Satellite sea surface temperature masked to the Gulf Stream Longhurst Province (GFST). | extractsat2_r.png::Monthly mean sea surface temperature within the Gulf Stream Province for 2020. ,extractsat1_m.png::Monthly sea surface temperature within the Papahānaumokuākea Marine National Monument (PMNM) for April 2015.
How to work with satellite data in Matlab in the Great Lakes,ERDDAP Basics,matlab-basics,matlab-basics,,,,,matlab-basics/matlab/,tutorials/matlab-basics/matlab/matlab_basics_gl.md,"Access and analyze satellite sea surface temperature data in MATLAB using ERDDAP and NetCDF workflows. This tutorial demonstrates how to construct ERDDAP download URLs, read NetCDF variables directly into MATLAB, convert time coordinates, and subset data spatially and temporally. The workflow includes creating daily SST maps, generating regional mean time series, and computing average SST over a selected period. Satellite sea surface temperature data from NOAA CoastWatch are used to illustrate spatial and temporal analysis across the Great Lakes region.",,,"matlab_gl1.png::Daily satellite sea surface temperature (SST) across the Great Lakes on 21 July 2021, extracted from ERDDAP and visualized in a Mercator projection. | matlab_gl2.png::Time series of mean SST within a Lake Superior subregion showing daily temperature variability from 21–28 July 2021. | matlab_gl3.png::Mean satellite SST across the Great Lakes averaged over 21–28 July 2021, illustrating spatial temperature patterns derived from ERDDAP data."
Working with Great Lakes Surface Temperature Data,Data Access & Subsetting,gl-access-sat-surface-temp-data,gl-access-sat-surface-temp-data,gl-access-sat-surface-temp-data/python/,tutorials/gl-access-sat-surface-temp-data/python/gl-access-sat-surface-temp-data.ipynb,,,,,"Access and analyze Great Lakes surface temperature using satellite observations in Python. This tutorial demonstrates how to download water surface temperature data from an ERDDAP server, open and inspect NetCDF files using xarray, and convert time variables into usable date formats. The extracted data are used to generate spatial maps of surface temperature, compute regional averages within user-defined bounding boxes, and visualize temporal variability through daily time series and monthly mean maps. Water surface temperature data from the Great Lakes Surface Environmental Analysis (GLSEA) ACSPO dataset are used to illustrate satellite-based analysis of Lake Erie.","surface_temp_gl1.png::Spatial subset of Lake Erie water surface temperature on June 1, 2023, extracted from ERDDAP and visualized for a focused region of interest. | surface_temp_gl2.png::Daily mean water surface temperature time series for a selected Lake Erie subregion during June 2023, illustrating short-term temporal variability. | surface_temp_gl3.png::Monthly mean water surface temperature across Lake Erie for June 2023, computed from daily satellite observations downloaded via ERDDAP.",,
Analyze Great Lakes Ice Concentration ,Time Series,gl-ice-plot-timeseries-ice-conc,gl-ice-plot-timeseries-ice-conc,gl-ice-plot-timeseries-ice-conc/python/,tutorials/gl-ice-plot-timeseries-ice-conc/python/gl-ice-plot-timeseries-ice-conc.ipynb,,,,,"Extract and summarize satellite-derived ice concentration to characterize seasonal ice conditions in the Great Lakes. This tutorial demonstrates how to download ice concentration data from ERDDAP, subset the data spatially and temporally for a region of interest, and handle missing values in NetCDF files. The extracted data are used to generate maps of ice concentration for specific dates and to compute regional daily mean ice concentration time series. Ice concentration data from the NOAA Great Lakes Surface Environmental Analysis (GLSEA) product are used to illustrate regional ice variability in western Lake Erie.","ice_conc_gl1.png::Spatial distribution of ice concentration (%) in western Lake Erie on March 1, 2019, derived from the Great Lakes Ice Concentration product and visualized after subsetting the ERDDAP dataset to the region of interest. | ice_conc_gl2.png::Time series of daily mean ice concentration (%) for western Lake Erie during March 2019, calculated by averaging satellite-derived ice concentration over the selected spatial domain.",,
